# Activity Data for H2SO4/H2O Mixtures
# from "Frank J. Zeleznik; Thermodynamic Properties of the Aqueous Sulfuric Acid System to 350 K." 
# J. Phys. Chem. Ref. Data 1 November 1991; 20 (6): 1157–1200. https://doi.org/10.1063/1.555899
# 
# See Table 8 in the paper
#
# m is molal conc of H2SO4
# g_H2SO4_x is activity coefficient of H2SO4 relative to 1 molal conc.; x = tempertaure
# phi_x is osmotic coefficient of the mixture where x = temperature
# T = 0, 25, 50, 75 degC 
#
"m",     "g_H2SO4_0", "phi_0",   "g_H2SO4_25", "phi_25",   "g_H2SO4_50", "phi_50", "g_H2SO4_75", "phi_75",   
15.00,    13.8604,    2.3826,    8.6401,    2.1534,    5.7556,   1.9537,   4.0825,   1.7756  
15.50,    14.8644,    2.4068,    9.1714,    2.1749,    6.0510,   1.9722,   4.2512,   1.7904  
16.00,    15.9085,    2.4297,    9.7187,    2.1952,    6.3524,   1.9897,   4.4218,   1.8045  
16.50,    16.9924,    2.4512,    10.2816,   2.2144,    6.6597,   2.0062,   4.5942,   1.8178  
17.00,    18.1157,    2.4716,    10.8596,   2.2326,    6.9725,   2.0218,   4.7681,   1.8303  
17.50,    19.2780,    2.4909,    11.4524,   2.2498,    7.2905,   2.0366,   4.9436,   1.8422  
18.00,    20.4787,    2.5090,    12.0594,   2.2660,    7.6136,   2.0505,   5.1204,   1.8535  
18.50,    21.7172,    2.5262,    12.6802,   2.2813,    7.9413,   2.0637,   5.2985,   1.8641  
19.00,    22.9928,    2.5423,    13.3143,   2.2957,    8.2735,   2.0762,   5.4778,   1.8742  
19.50,    24.3048,    2.5576,    13.9612,   2.3093,    8.6099,   2.0879,   5.6581,   1.8838  
20.00,    25.6523,    2.5719,    14.6203,   2.3221,    8.9501,   2.0990,   5.8393,   1.8928  
20.50,    27.0343,    2.5854,    15.2910,   2.3342,    9.2938,   2.1094,   6.0213,   1.9014  
21.00,    28.4500,    2.5981,    15.9727,   2.3455,    9.6409,   2.1192,   6.2041,   1.9094  
21.50,    29.8984,    2.6100,    16.6650,   2.3562,    9.9909,   2.1284,   6.3873,   1.9171  
22.00,    31.3783,    2.6212,    17.3671,   2.3661,   10.3436,   2.1371,   6.5711,   1.9242  
22.50,    32.8886,    2.6316,    18.0784,   2.3755,   10.6987,   2.1452,   6.7551,   1.9310  
23.00,    34.4281,    2.6414,    18.7984,   2.3842,   11.0558,   2.1528,   6.9394,   1.9374  
23.50,    35.9956,    2.6505,    19.5263,   2.3923,   11.4148,   2.1599,   7.1238,   1.9434  
24.00,    37.5898,    2.6590,    20.2615,   2.3999,   11.7752,   2.1665,   7.3082,   1.9490  
24.50,    39.2094,    2.6669,    21.0035,   2.4069,   12.1368,   2.1726,   7.4924,   1.9543  
25.00,    40.8531,    2.6742,    21.7514,   2.4134,   12.4994,   2.1783,   7.6765,   1.9593  
25.50,    42.5194,    2.6810,    22.5048,   2.4194,   12.8626,   2.1835,   7.8601,   1.9639  
26.00,    44.2071,    2.6872,    23.2628,   2.4249,   13.2261,   2.1884,   8.0433,   1.9681  
26.50,    45.9145,    2.6929,    24.0249,   2.4300,   13.5897,   2.1928,   8.2259,   1.9721  
27.00,    47.6404,    2.6981,    24.7905,   2.4346,   13.9530,   2.1969,   8.4079,   1.9758  
27.50,    49.3832,    2.7028,    25.5588,   2.4387,   14.3159,   2.2005,   8.5890,   1.9792  
28.00,    51.1414,    2.7071,    26.3293,   2.4425,   14.6780,   2.2039,   8.7693,   1.9823  
28.50,    52.9136,    2.7109,    27.1013,   2.4458,   15.0392,   2.2068,   8.9486,   1.9851  
29.00,    54.6983,    2.7143,    27.8743,   2.4488,   15.3990,   2.2095,   9.1268,   1.9876  
29.50,    56.4939,    2.7173,    28.6474,   2.4513,   15.7574,   2.2118,   9.3038,   1.9900  
30.00,    58.2991,    2.7198,    29.4203,   2.4536,   16.1140,   2.2138,   9.4795,   1.9920  
